Model Nomi,Narxi ($)
MYPRO Nova Light black,25.0
MYPRO Nova Light WHITE,26.0
MYPRO Aura black,25.0
MYPRO Aura Pro black,35.0
Alfatech S77 4xf Black,27.0
Alfatech A70 4xf Black,27.0
MYPRO Aura Pro white,36.0
ProGaming Infinity,70.0
MYPRO Aura white,26.0
Azza mini aqua 4x,32.0
Montech Xr white 3x,55.0
Einarex S700 4xf Black,65.0
Einarex S700 4xf White,65.0
Einarex S800 4x Black,75.0
Einarex S800 4x White,75.0
Alfatech A70 4xf White,27.0
WECAN ATX GLASS WG06 BLACK,45.0
WECAN ATX GLASS WG05 BLACK,55.0
ACER AQUA V950 BLACK no cooler,70.0
ACER ULTRA+ AQUA V333R BLACK no cooler,90.0
